img_id,caption
457889.jpg,a man in a suit and tie standing in front of a table
140435.jpg,a truck is parked in a parking lot
436949.jpg,a clock on a building with a clock on the side
416434.jpg,a woman is holding a cell phone and a man
188952.jpg,a pizza with a pizza on it and a pizza on it
126239.jpg,a street sign on a pole in front of a building
326176.jpg,a bird is standing on a beach with a bird on it
548198.jpg,a car is parked in a park with a bench
565387.jpg,a group of people sitting on a motorcycle
174188.jpg,a woman standing in front of a building with a red umbrella
301251.jpg,a young boy is skateboarding on the street
26577.jpg,a group of people standing in a living room
21900.jpg,a woman is riding a horse on a field
34866.jpg,a woman is standing in the street with a motorcycle
343561.jpg,a group of people sitting on a bench
7150.jpg,a cat laying on top of a chair
234234.jpg,a baseball player is swinging a bat at a ball
399556.jpg,a man and a woman are standing in a room
577592.jpg,a clock tower with a clock on the top
87194.jpg,a polar bear is in the water
571738.jpg,a plate of food with a plate of food
285253.jpg,a pair of scissors and a computer mouse on a computer keyboard
458762.jpg,a cat is sitting on a bed with a stuffed animal
215288.jpg,a man riding a surfboard on top of a wave
86140.jpg,a person on a snowboard is riding a snowy hill
306791.jpg,a plate of food with a sandwich and a drink
508938.jpg,a bus is parked on the side of the street
555972.jpg,a vase with a vase of flowers on top of it
509255.jpg,a woman is playing tennis on a tennis court
224005.jpg,a man riding a horse drawn carriage
348730.jpg,a man riding a skateboard down a street
191515.jpg,a motorcycle is parked in a room with a car
172947.jpg,a clock on a building with a clock on the side
506198.jpg,a bear walking across a river with a dog
282346.jpg,a man riding a skateboard on top of a concrete ramp
342593.jpg,a man and a woman sitting on a couch
191501.jpg,a red building with a red and red sign
133999.jpg,a bus is parked on the street in the city
107975.jpg,a pizza with a knife and a fork
285664.jpg,a microwave oven with a microwave on top of a stove
17226.jpg,a large plane flying in the air with a sky background
578652.jpg,a bunch of bananas and a bunch of bananas
298651.jpg,a plate of food on a plate with a fork
531309.jpg,a group of planes flying over a group of boats
214985.jpg,a man is holding a cell phone in his hand
110894.jpg,a group of people standing around a kitchen counter
91536.jpg,a bus is parked on the side of the road
367610.jpg,a group of people standing in the street
459673.jpg,a boat is docked in a river with a bridge
81871.jpg,a person is sitting in front of a laptop computer
456816.jpg,a plate of food on a table with a fork
299838.jpg,a man is playing tennis on a court
259005.jpg,a man is holding a frisbee in his hand
51476.jpg,a bunch of food on a table with a group of people
556554.jpg,a cat sitting on top of a wooden table
264797.jpg,a train is driving down a train track
495734.jpg,a group of giraffes are standing in a field
320362.jpg,a stop sign with a stop sign on it
512476.jpg,a table with a table with a table with a table
246040.jpg,a baseball player is holding a baseball bat
186175.jpg,a truck is parked in a field with a truck
570890.jpg,a woman is eating a hot dog in her hand
170888.jpg,a table with a table and a table
355779.jpg,a woman sitting on a couch with a dog
163114.jpg,a man sitting on a motorcycle on a street
557559.jpg,a train is going down the tracks in a city
82901.jpg,a man riding skis down a snow covered slope
370171.jpg,a cake with a knife and a cake on it
479729.jpg,a person is holding a plate of food
347989.jpg,a man riding a motorcycle down a street
150746.jpg,a cat is laying on a chair in the dark
167155.jpg,a park bench is on a beach next to a body of water
518885.jpg,a large white and white plane is sitting on a table
482236.jpg,a person flying a kite on a beach
528147.jpg,a kitchen with a stove and a stove
233022.jpg,a zebra standing on a dirt field with a tree in the background
371217.jpg,a fire hydrant in a field with a dog in the background
325143.jpg,a bunch of vegetables on a table with a bunch of oranges
485757.jpg,a man in a suit and tie holding a cake
49866.jpg,a group of people sitting in a train
297414.jpg,a kitchen with a sink and a sink
383752.jpg,a boat is docked in a body of water
49763.jpg,a man is walking with a kite on the beach
558510.jpg,a group of people standing next to each other
409208.jpg,a person on skis in the snow on a snowy hill
18473.jpg,a living room with a dog and a dog
188216.jpg,a plate of food with a knife and a fork
69535.jpg,a bowl of oranges and a knife on a table
425041.jpg,a giraffe is standing in the dirt next to a tree
360112.jpg,a woman sitting on a bench with a teddy bear
296843.jpg,a table with a table and a table with a plate of food
145898.jpg,a man in a chef apron is cooking in a kitchen
259853.jpg,a group of children sitting at a table with a cake
372685.jpg,a group of people sitting at a table with a cake
544349.jpg,a vase with a vase of a vase of flowers
558006.jpg,a man is jumping in the air on a skateboard
189038.jpg,a car is parked on a street corner
124390.jpg,a giraffe standing in a field with a building in the background
296946.jpg,a dog is sitting on a bicycle
311435.jpg,a tennis player is swinging at a ball
532690.jpg,a man in a white shirt and a tie
461774.jpg,a herd of zebras standing in a field
387150.jpg,a parking meter on a sidewalk with a sign on the side of it
377322.jpg,a group of people standing in a living room
207117.jpg,a zebra standing on the side of a road
154567.jpg,a man riding a wave on top of a surfboard
8665.jpg,a bird sitting on a bench in a city
549088.jpg,a large elephant standing in a field
228209.jpg,a man is holding a tennis racket in his hand
529258.jpg,a man walking down a street with a umbrella
136186.jpg,a herd of sheep are standing in a field
364992.jpg,a train is on the tracks in a field
420124.jpg,a woman is holding a tennis racket on a tennis court
543000.jpg,a train is traveling down a track near a street
393720.jpg,a man riding a skateboard on a ramp
25729.jpg,a woman in a dress holding a toothbrush
401310.jpg,a woman wearing a hat and a tie
148737.jpg,a cat is sitting on a book shelf in a room
305315.jpg,a bird is standing on the beach with a bird
480452.jpg,a bus is parked in front of a building
12996.jpg,a dog is sitting on a bench in a parking lot
581278.jpg,a woman holding a teddy bear in a room
161277.jpg,a bathroom with a toilet and a sink
569827.jpg,a truck is parked on the side of the road
25145.jpg,a zebra and a giraffe are standing in a dirt field
314627.jpg,a man is playing with a skateboard on the sidewalk
89045.jpg,a living room with a couch and a couch
440904.jpg,a man in a suit and tie standing in front of a tree
159768.jpg,a woman and a woman sitting at a table with food
77889.jpg,a plate of food with a sandwich and a fork
281557.jpg,a woman sitting at a table with a pizza
537211.jpg,a man sitting on a boat with a man in the background
464330.jpg,a television with a laptop and a laptop on a table
51181.jpg,a woman standing next to a building with a cell phone
24181.jpg,a street sign on a street corner
49183.jpg,a toilet with a toilet and a toilet in it
97172.jpg,a clock on the side of a building
114729.jpg,a computer monitor sitting on top of a desk
572608.jpg,a woman is holding a toilet in a bathroom
194461.jpg,a street sign on a street corner
392162.jpg,a herd of cows grazing in a field
83754.jpg,a baby elephant standing on a dirt road
146235.jpg,a man holding a cell phone in his hand
178606.jpg,a man is flying a kite in a park
172751.jpg,a bird perched on top of a wooden table
417857.jpg,a group of men playing a game of baseball
62279.jpg,a table with a plate of food and a bowl of food
561270.jpg,a boat is docked on a beach with a boat in the background
281829.jpg,a man and a woman are playing with a frisbee
297374.jpg,a small vase with a cat on it
329008.jpg,a group of people playing a game of frisbee
366000.jpg,a man riding a skateboard down a ramp
579872.jpg,a dog is standing in front of a dog
59685.jpg,a man sitting on a couch with a dog
545626.jpg,a woman in a red shirt is holding a red umbrella
484843.jpg,a man is sitting on a bed with a frisbee
360480.jpg,a woman is playing tennis on a tennis court
574025.jpg,a table with a plate of food and a plate of food
23954.jpg,a zebra standing next to a zebra
489167.jpg,a man is standing on a horse with a man on a skateboard
375947.jpg,a man sitting on a table with a cell phone
281461.jpg,a bird is standing on a rock
491203.jpg,a bathroom with a toilet and a sink
256037.jpg,a fire hydrant in the grass with a sign
310766.jpg,a refrigerator with a refrigerator and a refrigerator
373197.jpg,a bird sitting on a tree branch in a field
7232.jpg,a train is on the tracks in a field
426477.jpg,a pizza with a pizza on it on a table
526682.jpg,a man and a woman riding on the back of a horse
216932.jpg,a group of people sitting on a bench
439995.jpg,a microwave oven sitting on top of a counter
294267.jpg,a man is walking down a path with a large bird
145149.jpg,a man in a suit and tie is wearing a tie
345499.jpg,a elephant standing on a beach with a dog
552685.jpg,a bench sitting on the side of a road
113205.jpg,a computer monitor sitting on top of a desk
507434.jpg,a man is standing in front of a building
261439.jpg,a room with a table a table and a table
517617.jpg,a plate of food with a fork and a plate
548423.jpg,a desk with a laptop and a computer
514016.jpg,a truck is driving down a street with a man on the side
206583.jpg,a group of people sitting at a table with a bunch of food
249046.jpg,a man is jumping in the air on a snowboard
132935.jpg,a group of horses grazing on a lush green field
24154.jpg,a small table with a laptop computer and a laptop
328373.jpg,a parking meter with a sign on it
352107.jpg,a dog is sitting in the drivers seat of a car
115146.jpg,a group of people standing around a table
426269.jpg,a man is holding a banana in a basket
123646.jpg,a computer keyboard and mouse on a desk
357096.jpg,a young girl is holding a toilet in a bathroom
387121.jpg,a man is holding a toilet in a bathroom
412141.jpg,a man is standing in front of a car with a suitcase
467978.jpg,a herd of sheep are grazing in a field
155306.jpg,a bus is parked in a parking lot
442224.jpg,a sandwich and a bottle of a #RARE# and a sandwich
102080.jpg,a baby elephant standing on a rock
330524.jpg,a person holding a remote control in front of a television
53722.jpg,a group of people sitting at a table with a cake
414934.jpg,a man standing on a street with a dog
506095.jpg,a cat is sitting on a desk with a laptop
345567.jpg,a group of zebras are standing in a field
398753.jpg,a group of people are standing in a parking lot
473731.jpg,a horse standing in a field of grass
440329.jpg,a man is on the ground with a surfboard
184359.jpg,a group of boats sitting on a runway
458387.jpg,a boat floating on a river with a bridge in the background
201768.jpg,a young boy is standing in a field with a frisbee
489187.jpg,a giraffe standing in a zoo enclosure with a giraffe
198240.jpg,a little girl sitting at a table with a cake
202178.jpg,a plate of a plate of a bunch of vegetables
333150.jpg,a table with a computer and a man in a room
244815.jpg,a man standing next to a bus with a man in a red and white and white and white and white and white and white and white and white and white and white and white and white and white and white and white and white and a car
459665.jpg,a group of people on a beach playing with a frisbee
48756.jpg,a street sign with a sign on it
572448.jpg,a bunch of oranges sitting on a table
397143.jpg,a pizza with a knife and a knife on it
479573.jpg,a man is sitting on a bench with a snowboard
278705.jpg,a man riding a motorcycle on a street
410278.jpg,a vase filled with flowers and a vase of flowers
44823.jpg,a group of people standing on top of a dirt road
503724.jpg,a train is on a train track
155482.jpg,a cat is standing on the ground with a zebra
466020.jpg,a dog is standing in front of a car window
35963.jpg,a teddy bear is sitting on a bench
347695.jpg,a man and a woman are holding a man
44700.jpg,a man in a red shirt and a red shirt and a red shirt
163033.jpg,a woman is holding a cell phone in front of a woman
123544.jpg,a baseball player is throwing a ball on a field
256309.jpg,a kitchen with a stove and a stove and a stove
287829.jpg,a bathroom with a toilet and a sink
526565.jpg,a baby elephant standing on top of a field
12269.jpg,a young boy standing next to a man holding a umbrella
494434.jpg,a woman standing next to a man with a umbrella
417413.jpg,a man riding a wave on top of a surfboard
267697.jpg,a group of zebras standing in a field
469088.jpg,a dog is sitting on the ground with a dog
372558.jpg,a boat is on the beach with a clock on it
476093.jpg,a kitchen with a glass of wine and a glass of wine
442572.jpg,a man and a woman playing a video game
132394.jpg,a stop sign on a street corner
180613.jpg,a group of people standing on a beach with surfboards
93765.jpg,a man is standing next to a table with a cell phone
530509.jpg,a man is playing frisbee in the park
202531.jpg,a group of giraffes are standing in a field
221028.jpg,a white teddy bear sitting on a bed
316524.jpg,a man standing next to a street sign and a man
154713.jpg,a hot dog with a fork on a plate
375812.jpg,a man is playing with a frisbee in a field
341455.jpg,a group of people sitting at a table with food
501788.jpg,a cat sitting on a stone bench in a city
71989.jpg,a man in a room holding a wii remote
579192.jpg,a bench on a beach with a bridge in the background
107964.jpg,a man riding a skateboard down a street
367020.jpg,a parking meter on the side of a street
76588.jpg,a cat is sitting on the sink in a bathroom
410960.jpg,a man is eating a banana in front of a window
557102.jpg,two men playing a video game in a living room
343169.jpg,a kitchen with a stove and a stove in a kitchen
423425.jpg,a bathroom with a toilet and a sink in it
163358.jpg,a woman is holding a tennis racket on a court
421471.jpg,a toilet with a toilet and a toilet
107922.jpg,a man on a skateboard with a man in a hat
292585.jpg,a woman walking down a street with a red umbrella
339761.jpg,a kitchen with a sink and a sink
185721.jpg,a street with a stop sign and a street sign
450959.jpg,a desk with a computer keyboard and a laptop
472549.jpg,a group of people standing around a building with a sign
217766.jpg,a bedroom with a bed and a bed in a room
394009.jpg,a bathroom with a toilet and a sink and a toilet
210060.jpg,a man riding a motorcycle down a street
65661.jpg,a man holding a umbrella in a city area
444619.jpg,a group of people riding motorcycles on a city street
165161.jpg,a pizza with cheese and cheese on a plate
158647.jpg,a person holding a cell phone in front of a laptop
524725.jpg,a parking meter with a sign on it
410655.jpg,a plate of food with a plate of vegetables and a knife
158302.jpg,a man riding a wave on a surfboard in the ocean
213033.jpg,a woman standing in the rain with an umbrella
308674.jpg,a bed with a white and white bedspread and a bed
114108.jpg,a pizza with a knife and a knife and a knife
554541.jpg,a man is playing tennis on a tennis court
48668.jpg,a woman is sitting on a bed with a teddy bear
400623.jpg,a desk with a computer and a computer on it
196715.jpg,a large truck is parked in a parking lot
449066.jpg,a street sign on a pole on a street corner
553495.jpg,a woman flying a kite on a beach
91275.jpg,a dog is standing in the grass with a frisbee
63050.jpg,a bench in the woods in a forest
58101.jpg,a woman is sitting on a couch with a teddy bear
389541.jpg,a cat laying on a bed with a stuffed animal
529981.jpg,a group of people are standing in a field
554595.jpg,a surfboard is sitting on the beach with a surfboard
287714.jpg,a bathroom with a sink and a mirror
222640.jpg,a man riding a skateboard on a ramp
172989.jpg,a man standing on a snowy hill with a snowboard
363214.jpg,a group of zebras are standing in a field
83815.jpg,a train is going down the tracks in a city
506659.jpg,a man is standing next to a large elephant
58437.jpg,a dog standing on a floor next to a remote
555861.jpg,a red fire hydrant sitting on the side of a road
308911.jpg,a motorcycle parked in a field with a fence
517875.jpg,a man riding a bike with a dog on a leash
528556.jpg,a young boy holding a red umbrella in his hand
135822.jpg,a living room with a couch and a television
116988.jpg,a woman sitting at a table with a glass of wine
570412.jpg,a bathroom with a toilet and a sink
364113.jpg,a man riding a horse on a street
35940.jpg,a fire hydrant is on the side of a building
116064.jpg,a woman is sitting on a couch with a dog
26782.jpg,a group of men standing next to each other on a field
105332.jpg,a dog with a hat on its head on a wooden bench
523854.jpg,a living room with a couch and a table
134460.jpg,a man is holding a banana in his hand
91795.jpg,a couple of white chairs sitting on a wooden bench
146573.jpg,a group of horses are standing in a field
161958.jpg,a woman on skis on a snowy hill
520457.jpg,a group of people playing a game of tennis
554556.jpg,a boat is parked on a boat in the water
571598.jpg,a man in a suit and tie holding a cell phone
205656.jpg,a bus is parked on the side of the road
208786.jpg,a man riding a wave on top of a surfboard
204256.jpg,a man is sitting on a bed with a book
481251.jpg,a red double decker bus is parked in front of a building
206922.jpg,a living room with a couch and a table
279696.jpg,a man in a suit and tie with a tie
142274.jpg,a horse is standing in a room with a #RARE#
266898.jpg,a toilet in a bathroom with a toilet in it
260547.jpg,a man in a black shirt and a tie is holding a knife
473658.jpg,a man is holding a kite in a field
141163.jpg,a plate of food on a table with a fork
298458.jpg,a group of people are playing a video game
502359.jpg,a plane flying over a mountain range
351335.jpg,a young man is holding a cell phone
480914.jpg,a group of people standing on a train
302497.jpg,a man is holding a sandwich in a box
512320.jpg,a person on skis in the snow with a snowboard
199923.jpg,a living room with a couch a table and a table
380475.jpg,a man is sitting on a bench with a cell phone
104931.jpg,a man riding a snowboard down a snow covered slope
519673.jpg,a train is parked on a train track
175584.jpg,a herd of cows standing on a lush green field
76117.jpg,a street with cars and cars on the street
96435.jpg,a plate of food with a sandwich and a fork
374916.jpg,a bunch of bananas are on a table
29437.jpg,a man is skiing down a snowy slope
145855.jpg,a group of cows are standing in a field
335518.jpg,a man is playing frisbee in the sand
344005.jpg,a man is playing frisbee in a field
61502.jpg,a plate of food with a fork and a fork
438055.jpg,a baseball player is swinging a bat at a baseball game
244231.jpg,a couple of birds sitting on a wire and a wire
197029.jpg,a plate of food with a plate of food
434319.jpg,a woman standing on the side of a building
561931.jpg,a large building with a clock on the side of the road
149583.jpg,a polar bear standing on a rock in a zoo
61684.jpg,a man is playing with a frisbee in a park
413556.jpg,a group of people are standing in the dirt
437831.jpg,a young boy is playing baseball in a field
64136.jpg,a bunch of bananas hanging from a tree
204206.jpg,a white and white horse and a horse
531125.jpg,a small airplane sitting on the tarmac at an airport
503431.jpg,a herd of sheep standing on a dirt road
580777.jpg,a bathroom with a toilet and a sink
27163.jpg,a large building with a large clock on the side of it
171380.jpg,a stop sign with a sign on it and a street sign
457258.jpg,a woman is holding a tennis racket
544565.jpg,a plate of food with a fork and a fork
84879.jpg,a man is sitting on a toilet in a bathroom
362314.jpg,a plate of food with a sandwich and a fork
510493.jpg,a group of sheep are standing in a field
354237.jpg,a man holding a surfboard walking on a beach
296064.jpg,a plate of food on a plate with a fork
89210.jpg,two women are playing a video game in a living room
403716.jpg,a person on a snowboard on a snowy hill
470957.jpg,a man is riding a skateboard on a skateboard
126921.jpg,a vase with a flower in it and a vase of flowers
285192.jpg,a man riding a motorcycle down a street
516592.jpg,a horse is standing in a fenced in area
420007.jpg,a train is on the tracks with a train on the tracks
171950.jpg,a baseball player is swinging at a ball
23676.jpg,a man is standing on a skateboard in a skate park
469777.jpg,a man riding a horse in a field
65518.jpg,a group of people standing on a field with a baseball bat
516404.jpg,a cat laying on a bed with a bed
572383.jpg,a man and a child are skiing down a hill
476950.jpg,a woman standing next to a train on a train
373641.jpg,a couple of elephants standing next to each other
205391.jpg,a man in a suit and tie standing in front of a man
122144.jpg,a plate of food with a sandwich and a fork
216142.jpg,a yellow bus parked in a field with a tree
281827.jpg,a plane flying over a city street with a large clock
89534.jpg,a pizza with a pizza on a plate
306313.jpg,a kitchen with a stove and a stove
359020.jpg,a man and a child flying a kite on the beach
562393.jpg,a couple of zebras standing in a field
279237.jpg,a plane flying in the sky with a sky background
162414.jpg,a bathroom with a toilet and a sink
475182.jpg,a baseball player is swinging at a ball
450477.jpg,a baseball player is swinging a bat at a ball
529188.jpg,a cat sitting in a bathroom sink with a cat
515928.jpg,a baseball player is swinging his bat on a field
487770.jpg,a group of planes flying in the sky
569273.jpg,a fire hydrant in the middle of a field
537721.jpg,a cell phone and a laptop on a table
259286.jpg,a cat sitting on a bench in front of a building
281427.jpg,a toilet with a toilet in it and a toilet
178874.jpg,a man and a woman sitting at a table with a laptop
253906.jpg,a man holding a hot dog in his hand
555412.jpg,a plate of food with broccoli and broccoli
578506.jpg,a group of people standing on a street
75713.jpg,a man and a woman standing next to a horse
466432.jpg,a man and a woman are eating a hot dog
208730.jpg,a herd of elephants walking across a dirt road
480545.jpg,a bathroom with a toilet and a sink
539971.jpg,a cat laying on a bed with a blanket
128051.jpg,a bus is parked in a parking lot
470738.jpg,a group of people riding skis on top of a snow covered slope
481281.jpg,a man is standing next to a horse
118076.jpg,a man flying a kite in a field
405729.jpg,a bathroom with a toilet and a toilet
552595.jpg,a bedroom with a bed and a window
328504.jpg,a giraffe standing next to a fence in a zoo
113317.jpg,a man is swinging a tennis racket at a ball
352061.jpg,a couple of sheep are standing in a field
97577.jpg,a woman is sitting on a bed with a stuffed animal
257336.jpg,a woman is preparing food in a kitchen
512576.jpg,a living room with a couch and a table
264338.jpg,a man is holding a sandwich in a kitchen
486087.jpg,a living room with a couch a table and a table
416026.jpg,a bunch of bananas in a bunch of green bananas
358756.jpg,a plane is flying over a building in a field
99417.jpg,a cake with a plate of food on it
298562.jpg,a vase with a flower in it
139042.jpg,a man holding a tennis racket on a court
312783.jpg,a man is playing a game of frisbee
72255.jpg,a man in a suit and tie standing in front of a wall
88183.jpg,a living room with a couch and a table
236093.jpg,a man standing on a snowy hill with a snowboard
111878.jpg,a plate of food with a fork and a fork
13988.jpg,a herd of sheep grazing on a lush green field
119618.jpg,a man is standing in a car with a truck
65557.jpg,a man is cutting a piece of cake
529827.jpg,a pair of scissors are on a bed
174071.jpg,a young boy is sitting on a toilet
49974.jpg,a plate of food with a plate of food
454636.jpg,a group of people standing around a table
413602.jpg,a bed with a bed and a bed
280429.jpg,a laptop computer sitting on top of a wooden table
301537.jpg,a man riding a skateboard on a skateboard ramp
12701.jpg,a man riding a wave on top of a surfboard
328452.jpg,a bathroom with a sink and a mirror
